,Label,Text
3245,0,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:
944,0,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
1044,0,Mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! Good indian?
2484,0,Mm have some kanji dont eat anything heavy ok
812,0,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint
2973,0,Sary just need Tim in the bollox &it hurt him a lot so he tol me!
2991,0,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
2942,0,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
230,0,Dear good morning now only i am up
1181,0,I'm in chennai velachery:)
1912,0,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
1992,0,No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!
5435,0,I'm wif him now buying tix lar...
4805,0,"Er, hello, things didn‘t quite go to plan – is limping slowly home followed by aa and with exhaust hanging off"
401,1,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop"
1859,0,"Sir, i am waiting for your call."
1344,0,Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
2952,0,Hey now am free you can call me.
501,0,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
3337,0,Then u go back urself lor...
1945,0,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
3142,0,Customer place i will call you
2422,0,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
381,0,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
5567,1,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate."
4937,0,K..k.:)congratulation ..
79,0,Its not the same here. Still looking for a job. How much do Ta's earn there.
5240,0,"Gud gud..k, chikku tke care.. sleep well gud nyt"
2554,0,Ü give me some time to walk there.
5345,0,Wat ü doing now?
4379,0,"Doing nothing, then u not having dinner w us?"
4789,0,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come..."
683,0,Is xy going 4 e lunch?
5519,0,Can you pls send me that company name. In saibaba colany
4315,0,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.
393,0,Morning only i can ok.
5541,0,Yeah it's jus rite...
4546,0,Never y lei... I v lazy... Got wat? Dat day ü send me da url cant work one...
3599,0,"Aight, we'll head out in a few"
2225,0,"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor..."
881,1,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
4625,0,Jus finish blowing my hair. U finish dinner already?
3997,0,We'll you pay over like  &lt;#&gt; yrs so its not too difficult
5015,0,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*
23,0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
4479,0,I anything lor.
1215,0,I'll text now! All creepy like so he won't think that we forgot
1961,1,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18
5339,0,You'd like that wouldn't you? Jerk!
848,0,I am in office:)whats the matter..msg me now.i will call you at break:).
4294,0,You best watch what you say cause I get drunk as a motherfucker
