,Label,Text
593,1,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
2725,0,Nope... C ü then...
41,0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
560,0,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. "
5296,0,Are u coming to the funeral home
3628,0,Still chance there. If you search hard you will get it..let have a try :)
3768,0,"Sir Goodmorning, Once free call me."
243,0,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
3172,0,Still otside le..u come 2morrow maga..
1339,0,Aight sorry I take ten years to shower. What's the plan?
5328,0,Sweet heart how are you?
3659,0,R u here yet? I'm wearing blue shirt n black pants.
405,0,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour"
1442,0,Ya:)going for restaurant..
261,0,Yup
4572,0,"CHA QUITEAMUZING THATSCOOL BABE,PROBPOP IN & CU SATTHEN HUNNY 4BREKKIE! LOVE JEN XXX. PSXTRA LRG PORTIONS 4 ME PLEASE "
5084,0,Hey happy birthday...
1689,0,Nan sonathaya soladha. Why boss?
1725,0,There bold 2  &lt;#&gt; . Is that yours
1203,0,"Me also da, i feel yesterday night  wait til 2day night dear."
834,0,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
1866,0,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.
2496,1,WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM
3016,0, &lt;#&gt;  mins but i had to stop somewhere first.
5313,0,My sister going to earn more than me da.
2010,0,"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do."
3821,0,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
340,0,U calling me right? Call my hand phone...
3700,0,How i noe... Did ü specify da domain as nusstu... Ü still in sch...
1601,0,K.then any other special?
2796,0,How will I creep on you now? ;_;
3720,1,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar"
5396,0,As in i want custom officer discount oh.
480,0,When're you guys getting back? G said you were thinking about not staying for mcr
3491,0,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  
2785,0,"K, wat s tht incident?"
1523,0,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
4821,1,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
4949,1,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
5168,0,"I‘ve got some salt, you can rub it in my open wounds if you like!"
3773,0,Does uncle timi help in clearing cars
799,0,Ok i msg u b4 i leave my house.
1766,0,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
4987,0,That's y u haf 2 keep me busy...
3970,0,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.
2453,0,Okay. I've seen it. So i should pick it on friday?
5531,0,Compliments to you. Was away from the system. How your side.
4497,0,"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade"
4517,1,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
5213,0,3 pa but not selected.
363,0,Check audrey's status right now
1271,0,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
4309,0,Ha ha - had popped down to the loo when you hello-ed me. Hello!
5017,0,Hey gals...U all wanna meet 4 dinner at nìte? 
3829,0,Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you
5503,0,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI"
4624,0,"U need my presnts always bcz U cant mis love. ""jeevithathile irulinae neekunna prakasamanu sneham"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me...."
347,0,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
3671,0,Ok thanx... Take care then...
4448,0,Please tell me you have some of that special stock you were talking about
